State_Name,Year,Literacy
Assam,1976,NA
Assam,1977,39.625
Assam,1978,NA
Assam,1979,NA
Assam,1980,42.4675
Assam,1981,NA
Bihar,1961,21.95
Bihar,1962,22.072
Bihar,1963,22.1818
Bihar,1964,22.3038
Bihar,1965,22.4258
Bihar,1966,22.5478
Bihar,1967,22.6698
Bihar,1968,22.7918
Bihar,1969,22.9138
Bihar,1970,23.0358
Bihar,1971,23.17
Bihar,1972,24.085
Bihar,1973,25
Bihar,1974,25.915
Bihar,1975,26.83
Bihar,1976,27.745
Bihar,1977,28.66
Bihar,1978,29.575
Bihar,1979,30.49
Bihar,1980,31.405
Bihar,1981,32.32
Bihar,1982,32.837
Bihar,1983,33.354
Bihar,1984,33.871
Bihar,1985,34.388
Bihar,1986,34.905
Bihar,1987,35.422
Bihar,1988,35.939
Bihar,1989,36.456
Bihar,1990,36.973
Bihar,1991,37.49
Bihar,1992,38.441
Bihar,1993,39.392
Bihar,1994,40.343
Bihar,1995,41.294
Bihar,1996,42.245
Bihar,1997,43.196
Bihar,1998,44.147
Bihar,1999,45.098
Bihar,2000,46.049
Bihar,2001,47
Bihar,2002,48.48
Bihar,2003,49.96
Bihar,2004,51.44
Bihar,2005,52.92
Bihar,2006,54.4
Bihar,2007,55.88
Bihar,2008,57.36
Bihar,2009,58.84
Bihar,2010,60.32
Bihar,2011,61.8
Bihar,2012,61.8
Bihar,2013,61.8
Bihar,2014,61.8
Bihar,2015,61.8
Bihar,2016,61.8
Bihar,2017,61.8
Bihar,2018,61.8
Bihar,2019,61.8
Chhattisgarh,1961,18.14
Chhattisgarh,1962,18.734
Chhattisgarh,1963,19.2686
Chhattisgarh,1964,19.8626
Chhattisgarh,1965,20.4566
Chhattisgarh,1966,21.0506
Chhattisgarh,1967,21.6446
Chhattisgarh,1968,22.2386
Chhattisgarh,1969,22.8326
Chhattisgarh,1970,23.4266
Chhattisgarh,1971,24.08
Chhattisgarh,1972,24.935
Chhattisgarh,1973,25.79
Chhattisgarh,1974,26.645
Chhattisgarh,1975,27.5
Chhattisgarh,1976,28.355
Chhattisgarh,1977,29.21
Chhattisgarh,1978,30.065
Chhattisgarh,1979,30.92
Chhattisgarh,1980,31.775
Chhattisgarh,1981,32.63
Chhattisgarh,1982,33.658
Chhattisgarh,1983,34.686
Chhattisgarh,1984,35.714
Chhattisgarh,1985,36.742
Chhattisgarh,1986,37.77
Chhattisgarh,1987,38.798
Chhattisgarh,1988,39.826
Chhattisgarh,1989,40.854
Chhattisgarh,1990,41.882
Chhattisgarh,1991,42.91
Chhattisgarh,1992,45.085
Chhattisgarh,1993,47.26
Chhattisgarh,1994,49.435
Chhattisgarh,1995,51.61
Chhattisgarh,1996,53.785
Chhattisgarh,1997,55.96
Chhattisgarh,1998,58.135
Chhattisgarh,1999,60.31
Chhattisgarh,2000,62.485
Chhattisgarh,2001,64.66
Chhattisgarh,2002,65.222
Chhattisgarh,2003,65.784
Chhattisgarh,2004,66.346
Chhattisgarh,2005,66.908
Chhattisgarh,2006,67.47
Chhattisgarh,2007,68.032
Chhattisgarh,2008,68.594
Chhattisgarh,2009,69.156
Chhattisgarh,2010,69.718
Chhattisgarh,2011,70.28
Chhattisgarh,2012,70.28
Chhattisgarh,2013,70.28
Chhattisgarh,2014,70.28
Chhattisgarh,2015,70.28
Chhattisgarh,2016,70.28
Chhattisgarh,2017,70.28
Chhattisgarh,2018,70.28
Chhattisgarh,2019,70.28
Delhi,1962,62.263
Delhi,1967,63.828
Delhi,1971,65.08
Delhi,1977,69.196
Delhi,1980,71.254
Delhi,1984,72.945
Delhi,1989,74.62
Delhi,1991,75.29
Delhi,1996,78.48
Delhi,1998,79.756
Delhi,1999,80.394
Delhi,2004,83.032
Delhi,2009,85.302
Delhi,2014,86.21
Delhi,2019,86.21
Goa,1961,35.41
Goa,1962,37.065
Goa,1963,38.5545
Goa,1964,40.2095
Goa,1965,41.8645
Goa,1966,43.5195
Goa,1967,45.1745
Goa,1968,46.8295
Goa,1969,48.4845
Goa,1970,50.1395
Goa,1971,51.96
Goa,1972,53.335
Goa,1973,54.71
Goa,1974,56.085
Goa,1975,57.46
Goa,1976,58.835
Goa,1977,60.21
Goa,1978,61.585
Goa,1979,62.96
Goa,1980,64.335
Goa,1981,65.71
Goa,1982,66.69
Goa,1983,67.67
Goa,1984,68.65
Goa,1985,69.63
Goa,1986,70.61
Goa,1987,71.59
Goa,1988,72.57
Goa,1989,73.55
Goa,1990,74.53
Goa,1991,75.51
Goa,1992,76.16
Goa,1993,76.81
Goa,1994,77.46
Goa,1995,78.11
Goa,1996,78.76
Goa,1997,79.41
Goa,1998,80.06
Goa,1999,80.71
Goa,2000,81.36
Goa,2001,82.01
Goa,2002,82.679
Goa,2003,83.348
Goa,2004,84.017
Goa,2005,84.686
Goa,2006,85.355
Goa,2007,86.024
Goa,2008,86.693
Goa,2009,87.362
Goa,2010,88.031
Goa,2011,88.7
Goa,2012,88.7
Goa,2013,88.7
Goa,2014,88.7
Goa,2015,88.7
Goa,2016,88.7
Goa,2017,88.7
Goa,2018,88.7
Goa,2019,88.7
Gujarat,1961,31.47
Gujarat,1962,32.018
Gujarat,1963,32.5112
Gujarat,1964,33.0592
Gujarat,1965,33.6072
Gujarat,1966,34.1552
Gujarat,1967,34.7032
Gujarat,1968,35.2512
Gujarat,1969,35.7992
Gujarat,1970,36.3472
Gujarat,1971,36.95
Gujarat,1972,37.747
Gujarat,1973,38.544
Gujarat,1974,39.341
Gujarat,1975,40.138
Gujarat,1976,40.935
Gujarat,1977,41.732
Gujarat,1978,42.529
Gujarat,1979,43.326
Gujarat,1980,44.123
Gujarat,1981,44.92
Gujarat,1982,46.557
Gujarat,1983,48.194
Gujarat,1984,49.831
Gujarat,1985,51.468
Gujarat,1986,53.105
Gujarat,1987,54.742
Gujarat,1988,56.379
Gujarat,1989,58.016
Gujarat,1990,59.653
Gujarat,1991,61.29
Gujarat,1992,62.075
Gujarat,1993,62.86
Gujarat,1994,63.645
Gujarat,1995,64.43
Gujarat,1996,65.215
Gujarat,1997,66
Gujarat,1998,66.785
Gujarat,1999,67.57
Gujarat,2000,68.355
Gujarat,2001,69.14
Gujarat,2002,70.029
Gujarat,2003,70.918
Gujarat,2004,71.807
Gujarat,2005,72.696
Gujarat,2006,73.585
Gujarat,2007,74.474
Gujarat,2008,75.363
Gujarat,2009,76.252
Gujarat,2010,77.141
Gujarat,2011,78.03
Gujarat,2012,78.03
Gujarat,2013,78.03
Gujarat,2014,78.03
Gujarat,2015,78.03
Gujarat,2016,78.03
Gujarat,2017,78.03
Gujarat,2018,78.03
Gujarat,2019,78.03
Haryana,1971,25.71
Haryana,1972,26.852
Haryana,1973,27.994
Haryana,1974,29.136
Haryana,1975,30.278
Haryana,1976,31.42
Haryana,1977,32.562
Haryana,1978,33.704
Haryana,1979,34.846
Haryana,1980,35.988
Haryana,1981,37.13
Haryana,1982,39.002
Haryana,1983,40.874
Haryana,1984,42.746
Haryana,1985,44.618
Haryana,1986,46.49
Haryana,1987,48.362
Haryana,1988,50.234
Haryana,1989,52.106
Haryana,1990,53.978
Haryana,1991,55.85
Haryana,1992,57.056
Haryana,1993,58.262
Haryana,1994,59.468
Haryana,1995,60.674
Haryana,1996,61.88
Haryana,1997,63.086
Haryana,1998,64.292
Haryana,1999,65.498
Haryana,2000,66.704
Haryana,2001,67.91
Haryana,2002,68.674
Haryana,2003,69.438
Haryana,2004,70.202
Haryana,2005,70.966
Haryana,2006,71.73
Haryana,2007,72.494
Haryana,2008,73.258
Haryana,2009,74.022
Haryana,2010,74.786
Haryana,2011,75.55
Haryana,2012,75.55
Haryana,2013,75.55
Haryana,2014,75.55
Haryana,2015,75.55
